country_other,totalcases,totaldeaths,totalrecovered,activecases,serious_critical,totaltests,population,continent
Luxembourg,"319,959","1,232","316,690","2,037",0,"4,587,145","642,371",Europe
Brunei ,"312,892",225,"243,601","69,066",3,"717,784","445,431",Asia
Montenegro,"294,629","2,834","291,245",550,6,"2,764,972","627,950",Europe
Algeria,"271,958","6,881","183,061","82,016",0,"230,960","45,350,148",Africa
Nigeria,"267,146","3,155","259,953","4,038",11,"5,708,974","216,746,934",Africa
Zimbabwe,"265,848","5,723","258,888","1,237",12,"2,525,756","15,331,428",Africa
Uzbekistan,"253,662","1,637","241,486","10,539",23,"1,377,915","34,382,084",Asia
Mozambique,"233,654","2,249","228,805","2,600",11,"1,371,127","33,089,461",Africa
Martinique,"230,354","1,102",0,0,12,"828,928","374,087",North America
Afghanistan,"228,476","7,961","208,045","12,470",0,"1,329,491","40,754,388",Asia
Laos,"218,895",758,0,0,0,"1,233,207","7,481,023",Asia
Iceland,"209,286",229,0,0,2,"1,996,384","345,393",Europe
Kyrgyzstan,"206,897","2,991","196,406","7,500",131,"1,907,195","6,728,271",Asia
Guadeloupe,"203,235","1,021",0,0,19,"938,039","399,794",North America
El Salvador,"201,809","4,230","179,410","18,169",8,"2,610,114","6,550,389",North America
Trinidad and Tobago,"191,496","4,390","187,078",28,8,"913,289","1,406,585",North America
Maldives,"186,694",316,"163,687","22,691",25,"2,213,831","540,985",Asia
Namibia,"172,132","4,100","167,099",933,0,"1,062,663","2,633,874",Africa
Uganda,"171,983","3,632","100,431","67,920",3,"3,012,408","48,432,863",Africa
Ghana,"171,780","1,462","170,318",0,2,"2,538,052","32,395,450",Africa
Jamaica,"156,469","3,664","103,191","49,614",0,"1,183,986","2,985,094",North America
Cambodia,"138,949","3,056","135,890",3,0,"3,091,420","17,168,639",Asia
Rwanda,"133,518","1,468","132,039",11,0,"6,021,981","13,600,464",Africa
Cameroon,"125,205","1,974","123,224",7,13,"1,751,774","27,911,548",Africa
Malta,"120,759",866,"119,454",439,0,"2,157,067","444,033",Europe
Barbados,"110,235",641,"108,647",947,0,"810,447","288,023",North America
Angola,"105,978","1,936","103,419",623,0,"1,499,795","35,027,343",Africa
Channel Islands,"101,717",228,"101,321",168,0,"1,252,808","176,463",Europe
DRC,"99,181","1,468","84,489","13,224",0,"846,704","95,240,792",Africa
French Guiana,"98,041",420,"11,254","86,367",6,"651,257","314,169",South America
Senegal,"89,022","1,971","87,024",27,0,"1,146,543","17,653,671",Africa
Malawi,"88,986","2,686","85,651",649,67,"624,784","20,180,839",Africa
Ivory Coast,"88,338",835,"87,497",6,0,"1,690,934","27,742,298",Africa
Suriname,"82,588","1,408",0,0,0,"242,207","596,831",South America
New Caledonia,"80,064",314,"79,605",145,9,"98,964","290,915",Australia/Oceania
French Polynesia,"78,653",649,0,0,7,0,"284,164",Australia/Oceania
Eswatini,"75,127","1,427","73,116",584,0,"1,048,704","1,184,817",Africa
Guyana,"73,388","1,299","72,013",76,0,"733,218","794,045",South America
Belize,"71,060",688,"70,085",287,6,"576,016","412,190",North America
Fiji,"69,117",885,"67,226","1,006",0,"672,883","909,466",Australia/Oceania
Madagascar,"68,358","1,425","66,862",71,0,"531,329","29,178,077",Africa
Cabo Verde,"64,477",417,"63,755",305,23,"401,622","567,678",Africa
Sudan,"63,993","5,046","58,947",0,0,"562,941","45,992,020",Africa
Mauritania,"63,774",997,"62,471",306,0,"1,009,957","4,901,981",Africa
Bhutan,"62,697",21,"61,564","1,112",0,"2,303,734","787,941",Asia
Syria,"57,743","3,165","54,578",0,0,"146,269","19,364,809",Asia
Burundi,"54,721",38,"53,569","1,114",0,"345,742","12,624,840",Africa
Seychelles,"50,937",172,"50,750",15,0,0,"99,426",Africa
Gabon,"48,992",307,"48,674",11,0,"1,621,909","2,331,533",Africa
Andorra,"48,015",165,"47,563",287,14,"249,838","77,463",Europe
Papua New Guinea,"46,864",670,"46,168",26,7,"249,149","9,292,169",Australia/Oceania
Curaçao,"45,986",295,"44,720",971,3,"496,693","165,529",North America
Aruba,"44,224",292,"42,438","1,494",2,"177,885","107,609",North America
Tanzania,"43,078",846,0,0,7,0,"63,298,550",Africa
Mauritius,"43,025","1,051","41,278",696,0,"358,675","1,274,727",Africa
Mayotte,"42,027",188,0,0,0,"176,919","286,259",Africa
Togo,"39,531",290,"39,216",25,0,"812,881","8,680,837",Africa
Guinea,"38,563",468,"37,757",338,8,"660,107","13,865,691",Africa
Bahamas,"38,084",844,"36,366",874,1,"257,839","400,516",North America
Isle of Man,"38,008",116,0,0,0,"150,753","85,732",Europe
Lesotho,"34,790",723,"25,980","8,087",0,"431,221","2,175,699",Africa
Faeroe Islands,"34,658",28,0,0,5,"778,000","49,233",Europe
Haiti,"34,454",860,"33,372",222,0,"132,422","11,680,283",North America
Mali,"33,162",743,"32,332",87,0,"804,909","21,473,764",Africa
Cayman Islands,"31,472",37,"8,553","22,882",1,"222,773","67,277",North America
Saint Lucia,"30,150",410,"29,095",645,0,"210,983","185,113",North America
Benin,"28,036",163,"27,847",26,0,"604,310","12,784,726",Africa
Somalia,"27,334","1,361","13,182","12,791",0,"400,466","16,841,795",Africa
Micronesia,"26,547",65,0,0,1,"82,430","117,489",Australia/Oceania
Congo,"25,375",386,"24,006",983,0,"347,815","5,797,805",Africa
San Marino,"24,915",126,"24,760",29,4,"196,855","34,085",Europe
Solomon Islands,"24,575",153,0,0,1,0,"721,159",Australia/Oceania
Timor-Leste,"23,460",138,"23,102",220,0,"278,529","1,369,429",Asia
Burkina Faso,"22,056",396,"21,596",64,0,"248,995","22,102,838",Africa
Liechtenstein,"21,515",94,"21,352",69,0,"112,457","38,387",Europe
Gibraltar,"20,550",113,"16,579","3,858",0,"534,283","33,704",Europe
Macao,"20,000",123,"3,487","16,390",0,"7,850","667,490",Asia
Grenada,"19,693",238,"19,358",97,4,"182,981","113,475",North America
Bermuda,"18,860",165,"18,685",10,0,"1,029,558","61,939",North America
Nicaragua,"18,491",225,"4,225","14,041",0,0,"6,779,100",North America
South Sudan,"18,368",138,"18,115",115,1,"410,280","11,618,511",Africa
Tajikistan,"17,786",125,"17,264",397,0,0,"9,957,464",Asia
Equatorial Guinea,"17,229",183,"16,907",139,5,"365,697","1,496,662",Africa
Monaco,"17,109",67,"15,992","1,050",4,"78,646","39,783",Europe
Tonga,"16,865",13,"15,638","1,214",0,"535,009","107,749",Australia/Oceania
Samoa,"16,778",31,"1,605","15,142",0,"187,397","202,239",Australia/Oceania
Marshall Islands,"16,138",17,"16,121",0,0,0,"60,057",Australia/Oceania
Dominica,"15,798",74,"15,673",51,0,"229,344","72,344",North America
Djibouti,"15,690",189,"15,427",74,0,"305,941","1,016,097",Africa
CAR,"15,368",113,"15,200",55,2,"81,294","5,016,678",Africa
Gambia,"12,626",372,"12,189",65,0,"155,686","2,558,482",Africa
Saint Martin,"12,324",63,"1,399","10,862",7,"112,382","39,730",North America
Vanuatu,"12,019",14,"11,976",29,0,"24,976","321,832",Australia/Oceania
Greenland,"11,971",21,"2,761","9,189",4,"164,926","56,973",North America
Yemen,"11,945","2,159","9,124",662,23,"329,592","31,154,867",Asia
Caribbean Netherlands,"11,682",38,"10,476","1,168",0,"30,126","26,647",North America
Sint Maarten,"11,051",92,"10,905",54,0,"62,056","43,966",North America
Eritrea,"10,189",103,"10,086",0,0,"23,693","3,662,244",Africa
Niger,"9,931",312,"8,890",729,1,"254,538","26,083,660",Africa
St. Vincent Grenadines,"9,644",124,"9,493",27,0,"114,197","111,551",North America
Guinea-Bissau,"9,614",177,"8,929",508,6,"145,231","2,063,367",Africa
Comoros,"9,109",161,"8,939",9,0,0,"907,419",Africa
Antigua and Barbuda,"9,106",146,"8,954",6,1,"18,901","99,509",North America
Liberia,"8,090",295,"7,783",12,2,"139,824","5,305,117",Africa
Sierra Leone,"7,766",126,0,0,0,"259,958","8,306,436",Africa
Chad,"7,701",194,"4,874","2,633",0,"191,341","17,413,580",Africa
British Virgin Islands,"7,305",64,0,0,0,"107,339","30,596",North America
Cook Islands,"7,168",2,"7,150",16,0,"19,690","17,571",Australia/Oceania
Turks and Caicos,"6,662",40,"6,602",20,4,"615,226","39,741",North America
Saint Kitts and Nevis,"6,607",48,"6,559",0,0,"126,958","53,871",North America
Sao Tome and Principe,"6,605",80,"6,523",2,0,"29,085","227,679",Africa
Palau,"6,248",9,"6,238",1,0,"70,874","18,233",Australia/Oceania
St. Barth,"5,507",6,0,0,0,"78,646","9,945",North America
Nauru,"5,393",1,"5,347",45,0,"20,509","10,903",Australia/Oceania
Kiribati,"5,085",24,"2,703","2,358",3,0,"123,419",Australia/Oceania
Anguilla,"3,904",12,"3,879",13,4,"51,382","15,230",North America
Wallis and Futuna,"3,550",8,438,"3,104",0,"20,508","10,982",Australia/Oceania
Saint Pierre Miquelon,"3,452",2,"2,449","1,001",1,"25,400","5,759",North America
Tuvalu,"2,943",1,0,"2,942",0,0,"12,066",Australia/Oceania
Western Sahara,10,1,9,0,0,0,"626,161",Africa
China,"503,302","5,272","379,053","118,977",0,"160,000,000","1,448,471,400",Asia
